,Name,state,summit_elev,vertical_drop,base_elev,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,projectedDaysOpen,NightSkiing_ac,clusters
170,Whaleback Mountain,New Hampshire,1800,700,1100,0,0,0,0,0,0,1,3,4,30,1,1.0,85.0,60.0,105,64,110.0,30.0,45.0,105,55.0,1
171,Wildcat Mountain,New Hampshire,4062,2112,1950,0,0,0,1,0,3,0,1,5,48,0,2.8,225.0,200.0,156,61,200.0,79.0,89.0,150,0.0,1
172,Campgaw Mountain,New Jersey,726,274,450,0,0,0,0,0,0,2,3,5,12,1,0.3,23.0,23.0,80,58,45.0,57.92,64.17,100,14.0,1
173,Mountain Creek Resort,New Jersey,1480,1040,440,1,0,0,2,2,1,1,3,10,46,3,2.0,167.0,167.0,90,54,65.0,79.99,79.99,100,167.0,1
174,Angel Fire Resort,New Mexico,10677,2077,8600,0,0,0,2,0,0,3,2,7,81,3,3.0,560.0,230.0,101,53,210.0,77.0,77.0,101,50.0,0
175,Enchanted Forest Ski Area,New Mexico,10078,400,9820,0,0,0,0,0,0,0,0,0,33,0,2.5,600.0,232.4,130,34,240.0,20.0,20.0,140,0.0,0
176,Pajarito Mountain Ski Area,New Mexico,10441,1410,9031,0,0,0,0,1,1,3,1,6,45,2,0.6,750.0,35.0,89,62,163.0,49.0,49.0,117,0.0,0
177,Red River,New Mexico,10350,1600,8750,0,0,0,0,1,3,1,2,7,63,3,2.5,209.0,232.4,110,60,214.0,79.0,79.0,116,0.0,0
178,Sandia Peak,New Mexico,10378,1700,8678,0,0,0,0,0,0,4,1,5,39,1,2.0,200.0,30.0,32,82,100.0,55.0,55.0,38,0.0,0
179,Sipapu Ski Resort,New Mexico,9255,1055,8200,0,0,0,0,1,2,0,3,6,42,4,0.5,200.0,140.0,127,67,190.0,47.0,47.0,143,0.0,0
180,Ski Apache,New Mexico,11500,1900,9600,1,0,0,0,2,6,0,2,11,55,3,2.0,750.0,270.0,133,58,185.0,74.0,74.0,124,0.0,0
181,Ski Santa Fe,New Mexico,12075,1725,10350,0,0,0,0,1,2,2,2,7,83,1,3.0,660.0,275.0,107,73,225.0,80.0,80.0,130,0.0,0
182,Taos Ski Valley,New Mexico,12481,3281,9200,1,0,0,1,3,4,1,4,14,111,1,5.0,1294.0,647.0,137,64,300.0,110.0,110.0,136,0.0,0
183,Belleayre,New York,3429,1404,2025,1,0,0,1,1,1,2,2,8,50,2,2.2,175.0,168.0,154,70,130.0,60.0,72.0,150,0.0,1
184,Brantling Ski Slopes,New York,850,250,600,0,0,0,0,0,0,0,5,5,10,0,0.1,20.0,16.0,108,19,110.0,32.0,32.0,112,0.0,1
